job_id,job_title,company_name,location,description_text,qualifications,experience_years,salary_formatted,job_type,industry,apply_link
33,Backend Developer,Tamara,Jeddah,"Build and maintain backend APIs and services. Ensure scalability, reliability, and performance of server-side systems.","PostgreSQL, Redis, REST APIs, GraphQL, Python",5-8,18000-28000 SAR,Full-time,Fintech,https://careers.tamara.co/job/33
34,Full Stack Developer,KACST,Riyadh,Own features across the full technology stack from UI to database. Work in a startup environment with high ownership.,"REST APIs, Docker, PostgreSQL, React",2-4,12000-19000 SAR,Full-time,Research,https://careers.kacst.edu.sa/job/34
35,DevOps Engineer,Salla,Jubail,Manage containerized workloads and cloud infrastructure. Drive SRE practices across engineering teams.,"Prometheus, CI/CD, Linux, AWS, Docker",5-8,20000-30000 SAR,Full-time,E-commerce,https://careers.salla.com/job/35
36,Site Reliability Engineer,Hunger Station,Riyadh,Drive SRE culture and practices. Define SLOs and automate incident response workflows.,"AWS, Prometheus, Python, Grafana, Go, Linux, Incident Response",5-8,22000-32000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/36
37,Cloud Architect,Saudi National Bank,Riyadh,Lead cloud transformation programs. Establish cloud governance frameworks and security best practices.,"Networking, Terraform, Architecture Design, Cost Optimization",6-10,25000-38000 SAR,Full-time,Banking,https://careers.snb.com.sa/job/37
38,Cloud Engineer,Tahaluf,Riyadh,Build and manage cloud infrastructure on AWS and Azure. Implement infrastructure as code and cloud security controls.,"Linux, AWS, Docker, Kubernetes, Terraform, Python",2-4,14000-20000 SAR,Full-time,Events Tech,https://careers.tahaluf.ae/job/38
39,Cybersecurity Analyst,Saudi Aramco,Madinah,Monitor security events and conduct threat analysis across IT infrastructure. Respond to incidents and implement security controls.,"OSINT, SOC, Python, Network Security",5-8,20000-30000 SAR,Full-time,Energy,https://careers.aramco.com/job/39
40,Cybersecurity Engineer,Mobily,Riyadh,Design and implement security architecture and controls. Conduct threat modeling and security assessments.,"Endpoint Security, Network Security, Python, Firewall, SIEM, Zero Trust",3-5,16000-24000 SAR,Full-time,Telecom,https://careers.mobily.com.sa/job/40
41,Mobile Developer — Android,NEOM,Tabuk,Build and maintain Android mobile applications for millions of Saudi users. Optimize performance and user experience.,"Firebase, Kotlin, MVVM, Android SDK, Git, REST APIs, Jetpack Compose",2-4,12000-18000 SAR,Full-time,Smart City,https://careers.neom.com/job/41
42,Mobile Developer — iOS,Hunger Station,Riyadh,"Develop and maintain iOS applications with millions of active users. Focus on performance, stability, and user experience.","REST APIs, SwiftUI, Core Data, UIKit, Git",3-5,14000-22000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/42
43,Product Manager,Tahaluf,Riyadh,Own the product roadmap and strategy for a key business area. Work cross-functionally to ship impactful features.,"Jira, Product Strategy, Figma, OKRs",3-5,16000-24000 SAR,Full-time,Events Tech,https://careers.tahaluf.ae/job/43
44,UX Designer,Jarir Bookstore,Riyadh,"Design user-centered experiences for digital products. Conduct research, build prototypes, and validate designs with users.","User Research, Figma, Design Systems, Prototyping",2-4,10000-16000 SAR,Full-time,Retail,https://careers.jarir.com/job/44
45,Business Analyst,Noon,Riyadh,"Bridge business and technology teams. Document requirements, analyze data, and drive process improvements.","Stakeholder Management, Power BI, Requirements Analysis, Process Mapping, SQL",3-5,13000-19000 SAR,Full-time,E-commerce,https://careers.noon.com/job/45
46,Quality Assurance Engineer,Ministry of Health,Makkah,Design and execute automated and manual test plans. Ensure software quality across web and mobile platforms.,"Test Planning, Postman, Cypress, Performance Testing, Selenium, API Testing, JIRA",1-3,9000-14000 SAR,Full-time,Healthcare,https://careers.moh.gov.sa/job/46
47,Network Engineer,NEOM,Tabuk,"Design, implement, and maintain enterprise network infrastructure. Ensure high availability and security of network systems.","MPLS, Firewall, Network Security, Switching, Cisco",4-7,16000-24000 SAR,Full-time,Smart City,https://careers.neom.com/job/47
48,NLP Engineer,Deloitte Saudi Arabia,Riyadh,"Build Arabic NLP models for text classification, sentiment analysis, and information extraction.","LLMs, BERT, PyTorch, Python",4-6,20000-28000 SAR,Full-time,AI/Analytics,https://careers.deloitte.com/sa/job/48
49,AI Engineer,NEOM,Abha,Research and deploy AI solutions across computer vision and NLP domains. Build end-to-end AI systems at production scale.,"Computer Vision, NLP, FastAPI, Docker, PyTorch",3-5,18000-28000 SAR,Full-time,Smart City,https://careers.neom.com/job/49
50,Blockchain Developer,Amazon Saudi Arabia,Dhahran,Develop smart contracts and blockchain-based solutions for fintech and government applications.,"Web3.js, Python, Hyperledger, REST APIs, Smart Contracts, Ethereum, Solidity",3-5,18000-26000 SAR,Full-time,Fintech,https://careers.amazon.sa/job/50
51,IT Project Manager,Foodics,Riyadh,"Lead IT delivery projects from initiation to closure. Manage scope, budget, timeline, and stakeholder expectations.","PMP, PRINCE2, MS Project, Risk Management, Scrum, Stakeholder Management",4-7,16000-24000 SAR,Full-time,SaaS,https://careers.foodics.com/job/51
52,Systems Administrator,NEOM,Jeddah,"Manage and maintain IT infrastructure, servers, and enterprise applications. Ensure uptime and security compliance.","ITIL, Windows Server, VMware, Linux",2-4,9000-14000 SAR,Full-time,Smart City,https://careers.neom.com/job/52
53,Solution Architect,Jabal Omar,Makkah,Design end-to-end technology solutions for enterprise clients. Define architecture standards and integration patterns.,"API Design, Microservices, Integration, Azure, AWS, Enterprise Architecture, TOGAF",6-10,24000-36000 SAR,Full-time,Real Estate,https://careers.jabalomar.com.sa/job/53
54,Digital Marketing Specialist,Mozn,Riyadh,Grow online presence and drive customer acquisition through data-driven marketing strategies.,"Meta Ads, SEO, SQL, Analytics, HubSpot, Content Marketing, Google Ads",1-3,8000-12000 SAR,Full-time,AI/Fintech,https://careers.mozn.sa/job/54
55,Embedded Systems Engineer,Telfaz11,Riyadh,Develop firmware and embedded software for industrial IoT and sensor systems.,"C++, Firmware Development, RTOS, CAN Bus, ARM, Embedded Linux",5-8,18000-28000 SAR,Full-time,Energy,https://careers.telfaz11.com/job/55
56,Scrum Master,Telfaz11,Jubail,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Jira, SAFe, Scrum, Facilitation",2-4,12000-18000 SAR,Full-time,Media,https://careers.telfaz11.com/job/56
57,SAP Consultant,Unifonic,Riyadh,Design SAP solutions aligned with business processes. Provide Level 2/3 support for SAP environments.,"SQL, SAP SD, SAP FICO, Business Process, ABAP",5-9,20000-30000 SAR,Full-time,ERP,https://careers.unifonic.com/job/57
58,Database Administrator,Ministry of Finance,Riyadh,"Manage and optimize enterprise database systems. Ensure availability, performance, and security of critical data.","Python, SQL Server, Oracle, Backup & Recovery, PostgreSQL, Performance Tuning, Linux",3-5,13000-19000 SAR,Full-time,Government,https://careers.mof.gov.sa/job/58
59,Security Operations Center (SOC) Analyst,Zain KSA,Abha,Monitor security alerts and investigate incidents in a 24/7 SOC environment. Triaging and escalating threats.,"SIEM, Python, Splunk, OSINT",2-4,12000-18000 SAR,Full-time,Telecom,https://careers.sa.zain.com/job/59
60,Technical Support Engineer,SAP Saudi Arabia,Riyadh,Diagnose and troubleshoot technical problems. Document solutions and improve support knowledge base.,"Linux, Networking, SQL, Troubleshooting, Windows",1-3,8000-13000 SAR,Full-time,ERP,https://careers.sap.com/sa/job/60
61,Robotics Engineer,Salla,Jeddah,Build perception and motion planning systems for autonomous robots deployed in warehouses and public spaces.,"C++, SLAM, ROS, Sensors, Deep Learning",5-8,24000-36000 SAR,Full-time,Smart City,https://careers.salla.com/job/61
62,IT Auditor,stc,Riyadh,Evaluate cybersecurity and IT governance practices. Produce audit reports and recommendations for management.,"ITIL, COBIT, ISO 27001, Risk Assessment, Audit Frameworks",5-8,18000-26000 SAR,Full-time,Consulting,https://careers.stc.com.sa/job/62
63,Scrum Master,Jarir Bookstore,Riyadh,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Confluence, Agile, Scrum, Kanban, SAFe, Coaching",4-6,16000-24000 SAR,Full-time,Retail,https://careers.jarir.com/job/63
64,Principal Product Manager,Oracle Saudi Arabia,Khobar,Define product vision and prioritize backlog based on data and user insights. Drive execution with engineering and design teams.,"Agile, SQL, OKRs, Figma",6-10,28000-40000 SAR,Full-time,IT Services,https://careers.oracle.com/sa/job/64
65,Senior Frontend Developer,Alinma Bank,Riyadh,Develop and maintain customer-facing web applications. Collaborate closely with UX designers and backend teams.,"Webpack, TypeScript, HTML, Git, Jest, CSS, React",3-5,15000-22000 SAR,Full-time,Banking,https://careers.alinma.com/job/65
66,Senior Technical Support Engineer,KACST,Makkah,Diagnose and troubleshoot technical problems. Document solutions and improve support knowledge base.,"SQL, Networking, Customer Support, Troubleshooting",2-4,10000-15000 SAR,Full-time,Research,https://careers.kacst.edu.sa/job/66
67,Senior Business Analyst,SDAIA,Riyadh,"Bridge business and technology teams. Document requirements, analyze data, and drive process improvements.","Tableau, Excel, Stakeholder Management, Power BI, SQL, Process Mapping, Requirements Analysis",3-5,13000-19000 SAR,Remote,AI/Government,https://careers.sdaia.gov.sa/job/67
68,Senior IT Auditor,PwC Saudi Arabia,Riyadh,Evaluate cybersecurity and IT governance practices. Produce audit reports and recommendations for management.,"COBIT, Risk Assessment, Audit Frameworks, ITIL, Compliance, SQL",3-5,13000-20000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/68
69,Scrum Master,Unifonic,Riyadh,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Agile, Kanban, SAFe, Jira, Facilitation, Scrum",2-4,12000-18000 SAR,Full-time,Communication,https://careers.unifonic.com/job/69
70,Senior Scrum Master,SABIC,Jeddah,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Kanban, Confluence, SAFe, Agile, Coaching",4-6,16000-24000 SAR,Full-time,Petrochemicals,https://careers.sabic.com/job/70
71,Senior Frontend Developer,Takamol Holding,Riyadh,Develop and maintain customer-facing web applications. Collaborate closely with UX designers and backend teams.,"Webpack, HTML, Next.js, React",1-3,10000-15000 SAR,Contract,HR Tech,https://careers.takamol.com.sa/job/71
72,Junior Security Operations Center (SOC) Analyst,STV,Tabuk,Analyze threat intelligence and respond to security incidents. Develop detection rules and runbooks.,"Python, Incident Response, OSINT, Threat Intelligence, SIEM",2-4,12000-18000 SAR,Full-time,Media,https://careers.stv.tv/job/72
73,Security Operations Center (SOC) Analyst,Ministry of Finance,Madinah,Monitor security alerts and investigate incidents in a 24/7 SOC environment. Triaging and escalating threats.,"Splunk, Threat Intelligence, Python, Network Security, Incident Response, SIEM",2-4,12000-18000 SAR,Full-time,Government,https://careers.mof.gov.sa/job/73
74,DevOps Engineer,Tabby,Riyadh,Manage containerized workloads and cloud infrastructure. Drive SRE practices across engineering teams.,"Ansible, Prometheus, AWS, Kubernetes, Docker, CI/CD",3-5,16000-24000 SAR,Contract,Fintech,https://careers.tabby.ai/job/74
75,Senior Senior Software Engineer,Lucidya,Tabuk,Architect and build scalable services handling high traffic loads. Drive technical decisions across the team.,"Redis, CI/CD, System Design, Docker, Java, Kotlin",5-8,22000-32000 SAR,Full-time,AI/Analytics,https://careers.lucidya.com/job/75
76,Senior Network Engineer,KAUST,Khobar,Troubleshoot complex network issues and optimize performance across multi-site environments.,"Firewall, CCNA, MPLS, Network Security, Linux",2-5,12000-18000 SAR,Full-time,Education,https://careers.kaust.edu.sa/job/76
77,Lead Solution Architect,Riyad Bank,Dhahran,Lead technical pre-sales and solution design for complex transformation programs.,"Azure, AWS, TOGAF, Integration, API Design, Microservices, Enterprise Architecture",6-10,24000-36000 SAR,Contract,Banking,https://careers.riyadbank.com/job/77
78,Junior Mobile Developer — iOS,Careem,Riyadh,Build new iOS features aligned with product roadmap. Collaborate with backend teams on API design.,"Xcode, Git, Core Data, Swift, REST APIs",2-4,12000-18000 SAR,Full-time,Transportation,https://careers.careem.com/job/78
79,Senior Software Engineer,SABIC,Riyadh,Architect and build scalable services handling high traffic loads. Drive technical decisions across the team.,"CI/CD, System Design, Docker, PostgreSQL",5-8,22000-32000 SAR,Full-time,Petrochemicals,https://careers.sabic.com/job/79
80,Senior Backend Developer,Takamol Holding,Madinah,"Build and maintain backend APIs and services. Ensure scalability, reliability, and performance of server-side systems.","REST APIs, Redis, AWS, Python, Node.js, PostgreSQL",2-4,12000-18000 SAR,Full-time,HR Tech,https://careers.takamol.com.sa/job/80
81,Frontend Developer,Tamara,Jubail,Build responsive and performant web UIs. Implement pixel-perfect designs and ensure cross-browser compatibility.,"Webpack, Next.js, Redux, CSS, React, Jest",1-3,10000-15000 SAR,Full-time,Fintech,https://careers.tamara.co/job/81
82,SAP Consultant,Al Rajhi Bank,Riyadh,Design SAP solutions aligned with business processes. Provide Level 2/3 support for SAP environments.,"ABAP, SAP FICO, SAP S/4HANA, SAP SD, Business Process",5-9,20000-30000 SAR,Full-time,ERP,https://careers.alrajhibank.com.sa/job/82
83,Senior Scrum Master,KPMG Saudi Arabia,Riyadh,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Agile, Jira, Confluence, SAFe, Facilitation",4-6,16000-24000 SAR,Full-time,Consulting,https://careers.kpmg.com/sa/job/83
84,Senior Network Engineer,stc,Riyadh,"Design, implement, and maintain enterprise network infrastructure. Ensure high availability and security of network systems.","MPLS, Linux, Routing, BGP, Switching, Network Security, Firewall",4-7,16000-24000 SAR,Full-time,Telecom,https://careers.stc.com.sa/job/84
85,Software Engineer,Tahaluf,Jeddah,Develop backend systems supporting millions of users. Own features end-to-end from design to deployment.,"Microservices, REST APIs, Git, CI/CD, AWS, Docker, Python",2-4,12000-18000 SAR,Full-time,Events Tech,https://careers.tahaluf.ae/job/85
86,Mobile Developer — Android,PwC Saudi Arabia,Dammam,Develop new features and improve existing Android application. Work closely with product and design teams.,"Git, MVVM, Jetpack Compose, Firebase, REST APIs, Android SDK, Kotlin",3-5,14000-22000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/86
87,Senior Cloud Engineer,Accenture Saudi Arabia,Riyadh,Build and manage cloud infrastructure on AWS and Azure. Implement infrastructure as code and cloud security controls.,"IAM, Docker, Linux, Python, Networking",2-4,14000-20000 SAR,Contract,Consulting,https://careers.accenture.com/sa/job/87
88,Junior UX Designer,Jarir Bookstore,Riyadh,"Design user-centered experiences for digital products. Conduct research, build prototypes, and validate designs with users.","Prototyping, Figma, Design Systems, Information Architecture, Adobe XD",3-5,13000-20000 SAR,Full-time,Retail,https://careers.jarir.com/job/88
89,SAP Consultant,Al Rajhi Bank,Jubail,Design SAP solutions aligned with business processes. Provide Level 2/3 support for SAP environments.,"ABAP, SAP SD, SAP FICO, SAP ERP, SAP S/4HANA, SQL, Business Process",5-9,20000-30000 SAR,Full-time,ERP,https://careers.alrajhibank.com.sa/job/89
90,Senior Data Analyst,Jabal Omar,Riyadh,Analyze business data to generate actionable insights. Build dashboards and automated reports for stakeholders.,"SQL, Python, Google Analytics, Excel, Power BI, Tableau",1-3,9000-14000 SAR,Full-time,Real Estate,https://careers.jabalomar.com.sa/job/90
91,Senior Digital Marketing Specialist,PwC Saudi Arabia,Khobar,Plan and execute digital marketing campaigns. Analyze performance and optimize ROI across paid and organic channels.,"HubSpot, Google Ads, SQL, Meta Ads",2-4,9000-14000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/91
92,Lead Cloud Architect,STV,Riyadh,Lead cloud transformation programs. Establish cloud governance frameworks and security best practices.,"Cost Optimization, GCP, AWS, Azure, Networking, Terraform, Architecture Design",6-10,25000-38000 SAR,Full-time,Media,https://careers.stv.tv/job/92
93,Junior Cybersecurity Engineer,Hunger Station,Jubail,Build automated security tooling and integrate security into CI/CD pipelines. Lead security incident response.,"Zero Trust, SIEM, Python, Firewall",3-5,16000-24000 SAR,Full-time,Food Delivery,https://careers.hungerstation.com/job/93
94,Site Reliability Engineer,PwC Saudi Arabia,Jubail,Drive SRE culture and practices. Define SLOs and automate incident response workflows.,"Go, Grafana, AWS, Prometheus",5-8,22000-32000 SAR,Full-time,Consulting,https://careers.pwc.com/sa/job/94
95,Senior SAP Consultant,Ernst & Young KSA,Riyadh,Design SAP solutions aligned with business processes. Provide Level 2/3 support for SAP environments.,"SAP S/4HANA, SAP SD, SAP ERP, Business Process, ABAP, SQL",3-6,15000-22000 SAR,Full-time,ERP,https://careers.ey.com/sa/job/95
96,Product Manager,Jabal Omar,Makkah,Define product vision and prioritize backlog based on data and user insights. Drive execution with engineering and design teams.,"Figma, Agile, OKRs, User Research, Jira, Product Strategy, Stakeholder Management",3-5,16000-24000 SAR,Full-time,Real Estate,https://careers.jabalomar.com.sa/job/96
97,Frontend Developer,Zain KSA,Riyadh,Develop and maintain customer-facing web applications. Collaborate closely with UX designers and backend teams.,"Next.js, React, HTML, Jest, CSS, Git",3-5,15000-22000 SAR,Remote,Telecom,https://careers.sa.zain.com/job/97
98,Lead IT Project Manager,SDAIA,Riyadh,"Drive digital transformation programs for government and enterprise clients. Ensure on-time, on-budget delivery.","PMP, Agile, MS Project, Scrum, Risk Management, Stakeholder Management, PRINCE2",7-12,26000-38000 SAR,Full-time,AI/Government,https://careers.sdaia.gov.sa/job/98
99,Senior Robotics Engineer,Riyad Bank,Tabuk,Design and develop robotic systems for industrial and smart city applications.,"C++, Sensors, ROS, Computer Vision",5-8,24000-36000 SAR,Full-time,Smart City,https://careers.riyadbank.com/job/99
100,Senior Data Engineer,Jarir Bookstore,Jeddah,Design and maintain scalable data pipelines and ETL workflows. Ensure data quality and availability across the organization.,"Snowflake, AWS, Delta Lake, dbt, SQL",3-5,16000-24000 SAR,Full-time,Retail,https://careers.jarir.com/job/100
101,Scrum Master,Mozn,Riyadh,Coach teams on Scrum practices and Agile principles. Coordinate dependencies across teams.,"Jira, Kanban, Scrum, SAFe, Confluence",2-4,12000-18000 SAR,Contract,AI/Fintech,https://careers.mozn.sa/job/101
102,Senior Product Manager,Saudi Aramco,Dhahran,Define product vision and prioritize backlog based on data and user insights. Drive execution with engineering and design teams.,"OKRs, Figma, User Research, SQL, Stakeholder Management",5-8,22000-32000 SAR,Full-time,Energy,https://careers.aramco.com/job/102
103,Senior Embedded Systems Engineer,Accenture Saudi Arabia,Makkah,Develop firmware and embedded software for industrial IoT and sensor systems.,"C, RTOS, CAN Bus, Embedded Linux, IoT, C++, Firmware Development",5-8,18000-28000 SAR,Full-time,Energy,https://careers.accenture.com/sa/job/103
104,Senior Database Administrator,Dar Al Arkan,Riyadh,Design database schemas and implement backup/recovery strategies. Monitor and tune database performance.,"Backup & Recovery, Performance Tuning, Oracle, PostgreSQL",3-5,13000-19000 SAR,Full-time,Real Estate,https://careers.daralarkan.com/job/104
105,Senior DevOps Engineer,Noon,Riyadh,Manage containerized workloads and cloud infrastructure. Drive SRE practices across engineering teams.,"Docker, Linux, CI/CD, Prometheus, Terraform, AWS, Ansible",3-5,16000-24000 SAR,Contract,E-commerce,https://careers.noon.com/job/105
106,Senior SAP Consultant,Telfaz11,Riyadh,Implement and configure SAP ERP modules for government and enterprise clients. Conduct gap analysis and support go-live.,"SAP FICO, SQL, SAP ERP, ABAP, SAP S/4HANA, SAP SD",3-6,15000-22000 SAR,Full-time,ERP,https://careers.telfaz11.com/job/106
107,Senior Senior Software Engineer,STC Solutions,Riyadh,Architect and build scalable services handling high traffic loads. Drive technical decisions across the team.,"PostgreSQL, Redis, Kotlin, Java, AWS, System Design",5-8,22000-32000 SAR,Contract,IT Services,https://careers.stcsolutions.com.sa/job/107
